date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:26	145035/145035	---M--	200	added ('OK')	image/jpeg	etag:%226473e928-2368b%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/h2.jpg	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/h2.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-marketing-agency.html)
01:01:26	527/527	---MCZ	200	added ('OK')	application/javascript	etag:W/%226473e94c-20f%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/imgReveal/charming.min.js	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/imgReveal/charming.min.js	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-marketing-agency.html)
01:01:26	214567/214567	---M--	200	added ('OK')	image/jpeg	etag:%226473e928-34627%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/h3.jpg	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/blog/h3.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-marketing-agency.html)
01:01:26	5441/5441	---MCZ	200	added ('OK')	application/javascript	etag:W/%226473e94c-1541%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/imgReveal/imagesloaded.pkgd.min.js	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/imgReveal/imagesloaded.pkgd.min.js	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-marketing-agency.html)
01:01:27	115897/115897	---MCZ	200	added ('OK')	application/javascript	etag:W/%226473e94c-1c4b9%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/imgReveal/TweenMax.min.js	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/imgReveal/TweenMax.min.js	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-marketing-agency.html)
01:01:27	106282/106282	---MCZ	200	added ('OK')	application/javascript	etag:W/%226473e94c-19f2a%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/imgReveal/demo.js	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/js/imgReveal/demo.js	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-marketing-agency.html)
01:01:27	2038/2038	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226473e945-7f6%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/svg-assets/claw.svg	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/svg-assets/claw.svg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-creative-agency.html)
01:01:28	54015/54015	---M--	200	added ('OK')	image/jpeg	etag:%226473e92d-d2ff%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/header/c1.jpg	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/header/c1.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-creative-agency.html)
01:01:28	67987/67987	---M--	200	added ('OK')	image/jpeg	etag:%226473e92d-10993%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/header/c2.jpg	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/header/c2.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-creative-agency.html)
01:01:28	63751/63751	---M--	200	added ('OK')	image/jpeg	etag:%226473e95f-f907%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/portfolio/2/1.jpg	F:/httrack/geek-personal/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/portfolio/2/1.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-creative-agency.html)
